"","terms","count","probability"
"76","famili",127,0.00146060954571593
"77","open",126,0.00144910868315124
"78","team",126,0.00144910868315124
"79","friend",125,0.00143760782058654
"80","best",124,0.00142610695802185
"81","hope",123,0.00141460609545716
"82","next",123,0.00141460609545716
"83","sinc",123,0.00141460609545716
"84","follow",122,0.00140310523289247
"85","part",122,0.00140310523289247
"86","let",121,0.00139160437032777
"87","night",120,0.00138010350776308
"88","includ",119,0.00136860264519839
"89","someth",119,0.00136860264519839
"90","whi",119,0.00136860264519839
"91","lot",117,0.00134560092006901
"92","read",116,0.00133410005750431
"93","run",116,0.00133410005750431
"94","point",115,0.00132259919493962
"95","everi",113,0.00129959746981024
"96","world",113,0.00129959746981024
"97","put",110,0.00126509488211616
"98","around",109,0.00125359401955147
"99","place",108,0.00124209315698677
"100","post",108,0.00124209315698677
"101","ask",107,0.00123059229442208
"102","long",107,0.00123059229442208
"103","month",107,0.00123059229442208
"104","didnt",106,0.00121909143185739
"105","report",106,0.00121909143185739
"106","three",106,0.00121909143185739
"107","stori",105,0.0012075905692927
"108","alway",104,0.001196089706728
"109","believ",104,0.001196089706728
"110","chang",104,0.001196089706728
"111","man",104,0.001196089706728
"112","person",104,0.001196089706728
"113","keep",102,0.00117308798159862
"114","set",102,0.00117308798159862
"115","sure",102,0.00117308798159862
"116","write",101,0.00116158711903393
"117","season",100,0.00115008625646924
"118","happi",99,0.00113858539390454
"119","turn",99,0.00113858539390454
"120","busi",98,0.00112708453133985
"121","anoth",97,0.00111558366877516
"122","high",97,0.00111558366877516
"123","talk",96,0.00110408280621047
"124","cant",94,0.00108108108108108
"125","doe",94,0.00108108108108108
"126","move",94,0.00108108108108108
"127","happen",93,0.00106958021851639
"128","seem",93,0.00106958021851639
"129","mean",92,0.0010580793559517
"130","might",92,0.0010580793559517
"131","plan",92,0.0010580793559517
"132","tell",92,0.0010580793559517
"133","dure",91,0.001046578493387
"134","big",90,0.00103507763082231
"135","better",89,0.00102357676825762
"136","differ",89,0.00102357676825762
"137","don’t",88,0.00101207590569293
"138","minut",88,0.00101207590569293
"139","thought",88,0.00101207590569293
"140","case",87,0.00100057504312823
"141","watch",87,0.00100057504312823
"142","head",86,0.000989074180563542
"143","away",85,0.00097757331799885
"144","servic",85,0.00097757331799885
"145","word",85,0.00097757331799885
"146","found",84,0.000966072455434158
"147","ive",84,0.000966072455434158
"148","percent",84,0.000966072455434158
"149","ever",83,0.000954571592869465
"150","guy",83,0.000954571592869465
"151","enough",82,0.000943070730304773
"152","went",82,0.000943070730304773
"153","god",81,0.00093156986774008
"154","walk",81,0.00093156986774008
"155","food",80,0.000920069005175388
"156","actual",79,0.000908568142610696
"157","told",79,0.000908568142610696
"158","hour",78,0.000897067280046003
"159","kid",78,0.000897067280046003
"160","music",78,0.000897067280046003
"161","public",78,0.000897067280046003
"162","wait",78,0.000897067280046003
"163","check",77,0.000885566417481311
"164","counti",77,0.000885566417481311
"165","everyon",77,0.000885566417481311
"166","old",77,0.000885566417481311
"167","question",77,0.000885566417481311
"168","came",76,0.000874065554916619
"169","final",76,0.000874065554916619
"170","compani",75,0.000862564692351926
"171","job",75,0.000862564692351926
"172","leav",75,0.000862564692351926
"173","group",74,0.000851063829787234
"174","sever",74,0.000851063829787234
"175","bit",73,0.000839562967222542
"176","children",73,0.000839562967222542
"177","expect",73,0.000839562967222542
"178","near",73,0.000839562967222542
"179","top",73,0.000839562967222542
"180","blog",72,0.000828062104657849
"181","enjoy",72,0.000828062104657849
"182","later",72,0.000828062104657849
"183","left",72,0.000828062104657849
"184","meet",72,0.000828062104657849
"185","number",72,0.000828062104657849
"186","without",72,0.000828062104657849
"187","countri",71,0.000816561242093157
"188","develop",70,0.000805060379528465
"189","million",70,0.000805060379528465
"190","becom",69,0.000793559516963772
"191","cours",69,0.000793559516963772
"192","free",69,0.000793559516963772
"193","hand",69,0.000793559516963772
